,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
229,2012,경기도 사리현동 189,동문3단지,84,3.0,19025,224
230,2012,경기도 사리현동 466-1,현대그린,38,1.0,6776,175
231,2012,경기도 삼송동 306,고양삼송동원로얄듀크,84,3.0,35545,418
232,2012,경기도 삼송동 306,고양삼송동원로얄듀크,116,3.0,50564,433
233,2012,경기도 성사동 404-7,"미도아파트5차(3동,5동)",43,1.0,10725,246
234,2012,경기도 성사동 404-7,"미도아파트5차(3동,5동)",49,1.0,13500,270
235,2012,경기도 성사동 404-8,"미도아파트5차(1동,2동)",42,1.0,11300,268
236,2012,경기도 성사동 404-8,"미도아파트5차(1동,2동)",43,1.0,11400,261
237,2012,경기도 성사동 405-8,수정(405-8),51,1.0,14866,291
238,2012,경기도 성사동 415,개나리,40,1.0,11250,278
239,2012,경기도 성사동 415,개나리,42,1.0,11250,262
240,2012,경기도 성사동 415,개나리,45,1.0,13500,297
241,2012,경기도 성사동 415,개나리,48,1.0,14433,298
242,2012,경기도 성사동 422-2,미도(422-2),42,1.0,11150,264
243,2012,경기도 성사동 422-2,미도(422-2),46,1.0,12800,277
244,2012,경기도 성사동 422-3,미도(422-3),42,1.0,11250,267
245,2012,경기도 성사동 422-3,미도(422-3),49,1.0,12400,251
246,2012,경기도 성사동 493,세현,65,2.0,15000,228
247,2012,경기도 성사동 494-5,삼화그린아파트(B동),40,1.0,8400,209
248,2012,경기도 성사동 494-5,삼화그린아파트(B동),52,1.0,12450,238
249,2012,경기도 성사동 496-5,"장미아파트(가,나,다,라동)",37,1.0,8366,220
250,2012,경기도 성사동 496-5,"장미아파트(가,나,다,라동)",70,2.0,9900,140
251,2012,경기도 성사동 501-2,명지캐럿86,84,3.0,23500,276
252,2012,경기도 성사동 501-2,명지캐럿86,118,3.0,26800,225
253,2012,경기도 성사동 707-11,하림이벨리지타운,84,3.0,26816,317
254,2012,경기도 성사동 707-9,성사동세띠앙주상복합,84,3.0,22275,262
255,2012,경기도 성사동 707-9,성사동세띠앙주상복합,139,3.0,34000,244
256,2012,경기도 성사동 719,신원당(동문),63,2.0,19250,303
257,2012,경기도 성사동 719,신원당(동문),84,3.0,23233,274
258,2012,경기도 성사동 723,신원당(태영)2,39,1.0,13366,334
259,2012,경기도 성사동 723,신원당(태영)2,59,1.0,17203,290
260,2012,경기도 성사동 724,신원당(동신2),57,1.0,15237,266
261,2012,경기도 성사동 724,신원당(동신2),75,2.0,23150,307
262,2012,경기도 성사동 724,신원당(동신2),84,3.0,23400,276
263,2012,경기도 성사동 725,신원당마을,32,1.0,11478,350
264,2012,경기도 성사동 725,신원당마을,49,1.0,14640,295
265,2012,경기도 성사동 725,신원당마을,59,1.0,16850,283
266,2012,경기도 성사동 726,신원당(삼보),84,3.0,25975,306
267,2012,경기도 성사동 726,신원당(삼보),114,3.0,30087,262
268,2012,경기도 성사동 727,신원당(동신1),101,3.0,26540,260
269,2012,경기도 성사동 727,신원당(동신1),134,3.0,30400,225
270,2012,경기도 성사동 727,신원당(동신1),145,3.0,38750,265
271,2012,경기도 성사동 730,신원당(대명),58,1.0,17233,293
272,2012,경기도 성사동 730,신원당(대명),83,2.0,24775,297
273,2012,경기도 성사동 731,신원당(태영),54,1.0,14782,268
274,2012,경기도 성사동 731,신원당(태영),84,3.0,25650,301
275,2012,경기도 성사동 860,삼성래미안,59,1.0,27131,451
276,2012,경기도 성사동 860,삼성래미안,84,3.0,33782,397
277,2012,경기도 성사동 860,삼성래미안,117,3.0,46331,392
